mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__colsample_bytree,param_model__learning_rate,param_model__max_depth,param_model__min_child_weight,param_model__n_estimators,param_model__reg_lambda,param_model__subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.8847484588623047,0.1758240339462808,0.118683656056722,0.05246412125968515,0.8,0.03,3,5,400,1.0,1.0,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__min_child_weight': 5, 'model__n_estimators': 400, 'model__reg_lambda': 1.0, 'model__subsample': 1.0}",0.5186360242544912,0.47525504273420416,0.7706689677616667,0.5881866782501207,0.13024417294309856,12,1.0,1.0,0.9989784205693297,0.9996594735231099,0.0004815771619650945
0.7367149988810221,0.1330974010907916,0.0326234499613444,0.008981217900734136,0.8,0.03,5,1,400,1.0,1.0,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.03, 'model__max_depth': 5, 'model__min_child_weight': 1, 'model__n_estimators': 400, 'model__reg_lambda': 1.0, 'model__subsample': 1.0}",0.46245412942072717,0.5018753683398656,0.798475474268036,0.5876016573428763,0.14997629483337088,13,1.0,1.0,0.9999999999999999,1.0,6.409875621278546e-17
0.3815760612487793,0.06086524400452358,0.06278594334920247,0.033900881679805726,0.8,0.07,3,1,200,5.0,1.0,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.07, 'model__max_depth': 3, 'model__min_child_weight': 1, 'model__n_estimators': 200, 'model__reg_lambda': 5.0, 'model__subsample': 1.0}",0.46621774790393056,0.47799765957788753,0.8168202803006726,0.5870118959274969,0.16257021401211744,14,1.0,1.0,0.9999999999999999,1.0,6.409875621278546e-17
0.48354069391886395,0.13868421633380976,0.0261227289835612,0.0033801128438765743,0.8,0.03,5,5,400,1.0,1.0,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.03, 'model__max_depth': 5, 'model__min_child_weight': 5, 'model__n_estimators': 400, 'model__reg_lambda': 1.0, 'model__subsample': 1.0}",0.4646335404499421,0.49537214722340656,0.7908162624364896,0.5836073167032795,0.1470552637174083,15,1.0000000000000002,1.0,0.9999999999999999,1.0,1.4332917616497527e-16
0.80148712793986,0.2276886612736911,0.028156598409016926,0.0041173808756705885,0.8,0.03,5,1,400,5.0,1.0,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.03, 'model__max_depth': 5, 'model__min_child_weight': 1, 'model__n_estimators': 400, 'model__reg_lambda': 5.0, 'model__subsample': 1.0}",0.4608950654522185,0.48311842055793663,0.804845193983481,0.582952893331212,0.15716363912518358,16,1.0,1.0,1.0,1.0,0.0
0.6182223955790201,0.09115768532194865,0.04813138643900553,0.018080254521375242,0.8,0.03,5,1,200,1.0,1.0,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.03, 'model__max_depth': 5, 'model__min_child_weight': 1, 'model__n_estimators': 200, 'model__reg_lambda': 1.0, 'model__subsample': 1.0}",0.42975201815513564,0.5514156316288956,0.7668454111259495,0.582671020303327,0.13938116416751156,17,1.0,1.0,0.9999999999999999,1.0,6.409875621278546e-17
0.5104373296101888,0.09872443340223781,0.04738434155782064,0.02346788625871784,0.8,0.07,3,1,400,5.0,1.0,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.07, 'model__max_depth': 3, 'model__min_child_weight': 1, 'model__n_estimators': 400, 'model__reg_lambda': 5.0, 'model__subsample': 1.0}",0.484096971914069,0.42698069218489026,0.8368530184319658,0.5826435608436417,0.18125930522879447,18,1.0,1.0,1.0,1.0,0.0
0.3623799482981364,0.09649815833736916,0.020681460698445637,0.0022050169868313586,0.8,0.07,5,1,200,5.0,1.0,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.07, 'model__max_depth': 5, 'model__min_child_weight': 1, 'model__n_estimators': 200, 'model__reg_lambda': 5.0, 'model__subsample': 1.0}",0.4105984485011313,0.528765311611067,0.8056888970675453,0.5816842190599145,0.1655786292798426,19,1.0,1.0,1.0,1.0,0.0
0.2811831633249919,0.08729977242670972,0.023254235585530598,0.003192741102817503,0.8,0.07,5,5,200,1.0,1.0,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.07, 'model__max_depth': 5, 'model__min_child_weight': 5, 'model__n_estimators': 200, 'model__reg_lambda': 1.0, 'model__subsample': 1.0}",0.4555903885904408,0.4751241090654408,0.8042590608527931,0.5783245195028915,0.15995875362134584,20,1.0,1.0,1.0,1.0,0.0
0.6376566092173258,0.1776325486625925,0.031823158264160156,0.00803964504339701,0.8,0.07,5,1,400,5.0,1.0,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.07, 'model__max_depth': 5, 'model__min_child_weight': 1, 'model__n_estimators': 400, 'model__reg_lambda': 5.0, 'model__subsample': 1.0}",0.4564855570494668,0.4543362209483674,0.8206849201805342,0.5771688993927895,0.1721940653190306,21,1.0,1.0,1.0,1.0,0.0
0.3233249982198079,0.07892006687284686,0.01983960469563802,0.004870808119289014,0.8,0.07,5,1,200,1.0,1.0,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.07, 'model__max_depth': 5, 'model__min_child_weight': 1, 'model__n_estimators': 200, 'model__reg_lambda': 1.0, 'model__subsample': 1.0}",0.48587918512749234,0.47146572927861846,0.7738665866035702,0.5770705003365603,0.1392802010454373,22,1.0,1.0,1.0,1.0,0.0
0.44338186581929523,0.155830278302499,0.024847745895385742,0.005699783492686775,0.8,0.07,5,1,400,1.0,1.0,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.07, 'model__max_depth': 5, 'model__min_child_weight': 1, 'model__n_estimators': 400, 'model__reg_lambda': 1.0, 'model__subsample': 1.0}",0.5199364426051798,0.4384290167468479,0.7716316289353756,0.5766656960958011,0.14182066455801842,23,1.0,1.0,0.9999999999999999,1.0,6.409875621278546e-17
0.5384607315063477,0.11689431597447195,0.025849660237630207,0.004282744011505521,0.8,0.03,5,1,200,5.0,1.0,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.03, 'model__max_depth': 5, 'model__min_child_weight': 1, 'model__n_estimators': 200, 'model__reg_lambda': 5.0, 'model__subsample': 1.0}",0.3974122446119255,0.5573705745998526,0.766387047879296,0.5737232890303581,0.15107649235510454,24,1.0,1.0,1.0,1.0,0.0
0.570983091990153,0.1255087251034079,0.022345701853434246,0.0016234365018390922,0.8,0.07,3,1,700,5.0,1.0,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.07, 'model__max_depth': 3, 'model__min_child_weight': 1, 'model__n_estimators': 700, 'model__reg_lambda': 5.0, 'model__subsample': 1.0}",0.45338376008031384,0.42526445532530727,0.8386834766793729,0.5724438973616647,0.18860948901796878,25,1.0000000000000002,1.0,1.0,1.0,1.2819751242557092e-16
0.3346913655598958,0.09680046589785353,0.022214253743489582,0.0047321620858989735,0.8,0.03,5,5,200,1.0,1.0,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.03, 'model__max_depth': 5, 'model__min_child_weight': 5, 'model__n_estimators': 200, 'model__reg_lambda': 1.0, 'model__subsample': 1.0}",0.44961229676793324,0.5112594978895765,0.7497031253362951,0.570191639997935,0.12940472525587132,26,1.0,1.0,1.0,1.0,0.0
0.5506253242492676,0.11807590396244226,0.05279699961344401,0.008173894786403305,0.8,0.07,5,5,400,1.0,1.0,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.07, 'model__max_depth': 5, 'model__min_child_weight': 5, 'model__n_estimators': 400, 'model__reg_lambda': 1.0, 'model__subsample': 1.0}",0.44512451833880406,0.46866075600552715,0.7864849409450178,0.566756738429783,0.1556681317339511,27,1.0,1.0,1.0,1.0,0.0
0.34386134147644043,0.1229907006526814,0.03938023249308268,0.024285420790078574,0.8,0.07,5,5,200,5.0,1.0,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.07, 'model__max_depth': 5, 'model__min_child_weight': 5, 'model__n_estimators': 200, 'model__reg_lambda': 5.0, 'model__subsample': 1.0}",0.4477584222844522,0.4725116577322459,0.7755506141294201,0.5652735647153727,0.1490313362998797,28,1.0000000000000002,1.0,0.9999999999999999,1.0,1.4332917616497527e-16
0.3330121835072835,0.067808947163431,0.017356157302856445,0.0018073298018855375,0.8,0.07,3,5,400,1.0,1.0,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.07, 'model__max_depth': 3, 'model__min_child_weight': 5, 'model__n_estimators': 400, 'model__reg_lambda': 1.0, 'model__subsample': 1.0}",0.49329428673121717,0.4418531836266214,0.760645036760325,0.5652641690393879,0.13974216585243499,29,1.0,1.0,1.0,1.0,0.0
0.26364938418070477,0.04784092867959027,0.05693173408508301,0.0397952226758184,0.8,0.03,3,5,200,1.0,1.0,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__min_child_weight': 5, 'model__n_estimators': 200, 'model__reg_lambda': 1.0, 'model__subsample': 1.0}",0.4760347347768657,0.5275571338773586,0.6916464984242988,0.565079455692841,0.09193494668009408,30,1.0,0.9970684032869013,0.9668730570562185,0.9879804867810399,0.01497311495121103
