experiment,components,split,n_samples,tp_flagged,fp_flagged,fn_not_high,tn_not_high,precision_flagged,recall_flagged,f1_flagged,high_block_rate,total_economic_loss,avg_economic_loss_per_tx,detection_latency_hours,accuracy_flagged,specificity_flagged,flagged_rate,fraud_prevalence,roc_auc,average_precision,low_threshold,high_threshold
A,Supervised only,validation,512.0,12.0,5.0,1.0,494.0,0.7058823529411765,0.9230769230769231,0.8,0.033203125,181655.00000000003,354.79492187500006,,0.98828125,0.9899799599198397,0.033203125,0.025390625,0.994373362108833,0.772207336404169,0.27499999999999997,0.475
A,Supervised only,test,513.0,8.0,15.0,0.0,490.0,0.34782608695652173,1.0,0.5161290322580645,0.04483430799220273,1197.0,2.3333333333333335,,0.9707602339181286,0.9702970297029703,0.04483430799220273,0.015594541910331383,0.9939356435643564,0.5983901515151515,0.27499999999999997,0.475
B,Supervised + anomaly,validation,512.0,12.0,6.0,1.0,493.0,0.6666666666666666,0.9230769230769231,0.7741935483870968,0.03515625,181802.00000000003,355.08203125000006,,0.986328125,0.9879759519038076,0.03515625,0.025390625,0.993371358100817,0.8388346638346638,0.25,0.39999999999999997
B,Supervised + anomaly,test,513.0,8.0,16.0,0.0,489.0,0.3333333333333333,1.0,0.5,0.04678362573099415,1360.0,2.651072124756335,,0.9688109161793372,0.9683168316831683,0.04678362573099415,0.015594541910331383,0.9955445544554455,0.7601190476190476,0.25,0.39999999999999997
C,Supervised + graph,validation,512.0,11.0,3.0,2.0,496.0,0.7857142857142857,0.8461538461538461,0.8148148148148148,0.02734375,786041.0,1535.236328125,,0.990234375,0.9939879759519038,0.02734375,0.025390625,0.9184522891937723,0.8129471855180356,0.22499999999999998,0.425
C,Supervised + graph,test,513.0,7.0,15.0,1.0,490.0,0.3181818181818182,0.875,0.4666666666666667,0.042884990253411304,182925.00000000003,356.5789473684211,,0.9688109161793372,0.9702970297029703,0.042884990253411304,0.015594541910331383,0.9903465346534653,0.523465634606939,0.22499999999999998,0.425
D,Supervised + anomaly + graph,validation,512.0,11.0,6.0,2.0,493.0,0.6470588235294118,0.8461538461538461,0.7333333333333333,0.033203125,366426.00000000006,715.6757812500001,,0.984375,0.9879759519038076,0.033203125,0.025390625,0.9175273624171421,0.8067569219398487,0.05,0.375
D,Supervised + anomaly + graph,test,513.0,8.0,18.0,0.0,487.0,0.3076923076923077,1.0,0.47058823529411764,0.050682261208576995,4702.0,9.16569200779727,,0.9649122807017544,0.9643564356435643,0.050682261208576995,0.015594541910331383,0.9900990099009901,0.5696699134199135,0.05,0.375
